Year,Primary Type,total,arrests,arrest_rate
2001,ARSON,1011,181,17.9
2001,ASSAULT,31388,7151,22.8
2001,BATTERY,93472,20467,21.9
2001,BURGLARY,26014,1695,6.5
2001,CONCEALED CARRY LICENSE VIOLATION,1,1,100.0
2001,CRIM SEXUAL ASSAULT,1770,407,23.0
2001,CRIMINAL DAMAGE,55865,4548,8.1
2001,CRIMINAL SEXUAL ASSAULT,47,16,34.0
2001,CRIMINAL TRESPASS,13242,10262,77.5
2001,DECEPTIVE PRACTICE,14959,4789,32.0
2001,DOMESTIC VIOLENCE,1,1,100.0
2001,GAMBLING,934,931,99.7
2001,HOMICIDE,667,434,65.1
2001,INTERFERENCE WITH PUBLIC OFFICER,406,328,80.8
2001,INTIMIDATION,280,75,26.8
2001,KIDNAPPING,933,138,14.8
2001,LIQUOR LAW VIOLATION,1637,1636,99.9
2001,MOTOR VEHICLE THEFT,27556,3417,12.4
2001,NARCOTICS,50568,50560,100.0
2001,OBSCENITY,19,19,100.0
2001,OFFENSE INVOLVING CHILDREN,2268,815,35.9
2001,OTHER NARCOTIC VIOLATION,6,6,100.0
2001,OTHER OFFENSE,29669,5299,17.9
2001,PROSTITUTION,6026,6023,100.0
2001,PUBLIC INDECENCY,9,9,100.0
2001,PUBLIC PEACE VIOLATION,2750,923,33.6
2001,RITUALISM,8,1,12.5
2001,ROBBERY,18441,1840,10.0
2001,SEX OFFENSE,2238,841,37.6
2001,STALKING,204,51,25.0
2001,THEFT,99291,15546,15.7
2001,WEAPONS VIOLATION,4278,3540,82.7
2002,ARSON,1032,156,15.1
2002,ASSAULT,31524,7342,23.3
2002,BATTERY,94152,21330,22.7
2002,BURGLARY,25623,1667,6.5
2002,CRIM SEXUAL ASSAULT,1798,402,22.4
2002,CRIMINAL DAMAGE,55942,4403,7.9
2002,CRIMINAL SEXUAL ASSAULT,42,5,11.9
2002,CRIMINAL TRESPASS,13881,10632,76.6
2002,DECEPTIVE PRACTICE,13740,3806,27.7
2002,GAMBLING,971,969,99.8
2002,HOMICIDE,658,428,65.0
2002,INTERFERENCE WITH PUBLIC OFFICER,361,269,74.5
2002,INTIMIDATION,337,59,17.5
2002,KIDNAPPING,829,83,10.0
2002,LIQUOR LAW VIOLATION,1414,1413,99.9
2002,MOTOR VEHICLE THEFT,25121,3163,12.6
2002,NARCOTICS,51789,51781,100.0
2002,OBSCENITY,26,24,92.3
2002,OFFENSE INVOLVING CHILDREN,2596,781,30.1
2002,OTHER NARCOTIC VIOLATION,5,5,100.0
2002,OTHER OFFENSE,32602,5701,17.5
2002,PROSTITUTION,6408,6408,100.0
2002,PUBLIC INDECENCY,8,8,100.0
2002,PUBLIC PEACE VIOLATION,2457,929,37.8
2002,RITUALISM,2,1,50.0
2002,ROBBERY,18523,1761,9.5
2002,SEX OFFENSE,2173,775,35.7
2002,STALKING,200,44,22.0
2002,THEFT,98335,13697,13.9
2002,WEAPONS VIOLATION,4282,3539,82.6
2003,ARSON,955,140,14.7
2003,ASSAULT,29477,6910,23.4
2003,BATTERY,88380,20460,23.2
2003,BURGLARY,25157,1615,6.4
2003,CRIM SEXUAL ASSAULT,1563,308,19.7
2003,CRIMINAL DAMAGE,55011,4060,7.4
2003,CRIMINAL SEXUAL ASSAULT,55,7,12.7
2003,CRIMINAL TRESPASS,14807,11618,78.5
2003,DECEPTIVE PRACTICE,13465,3549,26.4
2003,GAMBLING,1088,1088,100.0
2003,HOMICIDE,604,386,63.9
2003,INTERFERENCE WITH PUBLIC OFFICER,409,346,84.6
2003,INTIMIDATION,364,47,12.9
2003,KIDNAPPING,705,69,9.8
2003,LIQUOR LAW VIOLATION,1311,1310,99.9
2003,MOTOR VEHICLE THEFT,22749,2740,12.0
2003,NARCOTICS,54288,54283,100.0
2003,OBSCENITY,16,15,93.8
2003,OFFENSE INVOLVING CHILDREN,3047,864,28.4
2003,OTHER NARCOTIC VIOLATION,2,2,100.0
2003,OTHER OFFENSE,31149,5856,18.8
2003,PROSTITUTION,6214,6214,100.0
2003,PUBLIC INDECENCY,6,6,100.0
2003,PUBLIC PEACE VIOLATION,2430,1049,43.2
2003,RITUALISM,2,0,0.0
2003,ROBBERY,17332,1596,9.2
2003,SEX OFFENSE,2079,688,33.1
2003,STALKING,247,44,17.8
2003,THEFT,98876,12889,13.0
2003,WEAPONS VIOLATION,4211,3447,81.9
2004,ARSON,778,109,14.0
2004,ASSAULT,28850,7005,24.3
2004,BATTERY,87135,20718,23.8
2004,BURGLARY,24564,1378,5.6
2004,CRIM SEXUAL ASSAULT,1524,310,20.3
2004,CRIMINAL DAMAGE,53164,3965,7.5
2004,CRIMINAL SEXUAL ASSAULT,60,12,20.0
2004,CRIMINAL TRESPASS,15913,12845,80.7
2004,DECEPTIVE PRACTICE,13263,3292,24.8
2004,GAMBLING,1122,1120,99.8
2004,HOMICIDE,455,294,64.6
2004,INTERFERENCE WITH PUBLIC OFFICER,531,465,87.6
2004,INTIMIDATION,349,69,19.8
2004,KIDNAPPING,482,58,12.0
2004,LIQUOR LAW VIOLATION,985,982,99.7
2004,MOTOR VEHICLE THEFT,22805,2514,11.0
2004,NARCOTICS,57060,57034,100.0
2004,OBSCENITY,13,12,92.3
2004,OFFENSE INVOLVING CHILDREN,3106,703,22.6
2004,OTHER NARCOTIC VIOLATION,9,9,100.0
2004,OTHER OFFENSE,29533,5386,18.2
2004,PROSTITUTION,7476,7474,100.0
2004,PUBLIC INDECENCY,9,9,100.0
2004,PUBLIC PEACE VIOLATION,2495,1307,52.4
2004,RITUALISM,1,0,0.0
2004,ROBBERY,15978,1479,9.3
2004,SEX OFFENSE,1806,650,36.0
2004,STALKING,215,36,16.7
2004,THEFT,95464,12068,12.6
2004,WEAPONS VIOLATION,4298,3405,79.2
2005,ARSON,691,121,17.5
2005,ASSAULT,27067,6631,24.5
2005,BATTERY,83964,19994,23.8
2005,BURGLARY,25503,1413,5.5
2005,CRIM SEXUAL ASSAULT,1509,275,18.2
2005,CRIMINAL DAMAGE,54548,4083,7.5
2005,CRIMINAL SEXUAL ASSAULT,53,11,20.8
2005,CRIMINAL TRESPASS,16655,13710,82.3
2005,DECEPTIVE PRACTICE,13593,3203,23.6
2005,GAMBLING,1078,1077,99.9
2005,HOMICIDE,453,284,62.7
2005,INTERFERENCE WITH PUBLIC OFFICER,615,552,89.8
